Region,Country,Item Type,Sales Channel,Order Priority,Order ID,Order Date,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Australia and Oceania,Tuvalu,Baby Food,Offline,High,669165933,28-05-2010,27-06-2010,9925,255.28,159.42,2533654,1582243.5,951410.5
Central America and the Caribbean,Grenada,Cereal,Online,Critical,963881480,22-08-2012,15-09-2012,2804,205.7,117.11,576782.8,328376.44,248406.36
Europe,Russia,Office Supplies,Offline,Low,341417157,02-05-2014,08-05-2014,1779,651.21,524.96,1158502.59,933903.84,224598.75
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Online,Critical,514321792,20-06-2014,05-07-2014,8102,9.33,6.92,75591.66,56065.84,19525.82
Sub-Saharan Africa,Rwanda,Office Supplies,Offline,Low,115456712,01-02-2013,06-02-2013,5062,651.21,524.96,3296425.02,2657347.52,639077.5
Australia and Oceania,Solomon Islands,Baby Food,Online,Critical,547995746,04-02-2015,21-02-2015,2974,255.28,159.42,759202.72,474115.08,285087.64
Sub-Saharan Africa,Angola,Household,Offline,Medium,135425221,23-04-2011,27-04-2011,4187,668.27,502.54,2798046.49,2104134.98,693911.51
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,High,871543967,17-07-2012,27-07-2012,8082,154.06,90.93,1245112.92,734896.26,510216.66
Sub-Saharan Africa,Republic of the Congo,Personal Care,Offline,Medium,770463311,14-07-2015,25-08-2015,6070,81.73,56.67,496101.1,343986.9,152114.2
Sub-Saharan Africa,Senegal,Cereal,Online,High,616607081,18-04-2014,30-05-2014,6593,205.7,117.11,1356180.1,772106.23,584073.87
Asia,Kyrgyzstan,Vegetables,Online,High,814711606,24-06-2011,12-07-2011,124,154.06,90.93,19103.44,11275.32,7828.12
Sub-Saharan Africa,Cape Verde,Clothes,Offline,High,939825713,02-08-2014,19-08-2014,4168,109.28,35.84,455479.04,149381.12,306097.92
Asia,Bangladesh,Clothes,Online,Low,187310731,13-01-2017,01-03-2017,8263,109.28,35.84,902980.64,296145.92,606834.72
Central America and the Caribbean,Honduras,Household,Offline,High,522840487,08-02-2017,13-02-2017,8974,668.27,502.54,5997054.98,4509793.96,1487261.02
Asia,Mongolia,Personal Care,Offline,Critical,832401311,19-02-2014,23-02-2014,4901,81.73,56.67,400558.73,277739.67,122819.06
Europe,Bulgaria,Clothes,Online,Medium,972292029,23-04-2012,03-06-2012,1673,109.28,35.84,182825.44,59960.32,122865.12
Asia,Sri Lanka,Cosmetics,Offline,Medium,419123971,19-11-2016,18-12-2016,6952,437.2,263.33,3039414.4,1830670.16,1208744.24
Sub-Saharan Africa,Cameroon,Beverages,Offline,Critical,519820964,01-04-2015,18-04-2015,5430,47.45,31.79,257653.5,172619.7,85033.8
Asia,Turkmenistan,Household,Offline,Low,441619336,30-12-2010,20-01-2011,3830,668.27,502.54,2559474.1,1924728.2,634745.9
Australia and Oceania,East Timor,Meat,Online,Low,322067916,31-07-2012,11-09-2012,5908,421.89,364.69,2492526.12,2154588.52,337937.6
Europe,Norway,Baby Food,Online,Low,819028031,14-05-2014,28-06-2014,7450,255.28,159.42,1901836,1187679,714157
Europe,Portugal,Baby Food,Online,High,860673511,31-07-2015,03-09-2015,1273,255.28,159.42,324971.44,202941.66,122029.78
Central America and the Caribbean,Honduras,Snacks,Online,Low,795490682,30-06-2016,26-07-2016,2225,152.58,97.44,339490.5,216804,122686.5
Australia and Oceania,New Zealand,Fruits,Online,High,142278373,08-09-2014,04-10-2014,2187,9.33,6.92,20404.71,15134.04,5270.67
Europe,Moldova,Personal Care,Online,Low,740147912,07-05-2016,10-05-2016,5070,81.73,56.67,414371.1,287316.9,127054.2
Europe,France,Cosmetics,Online,High,898523128,22-05-2017,05-06-2017,1815,437.2,263.33,793518,477943.95,315574.05
Australia and Oceania,Kiribati,Fruits,Online,Medium,347140347,13-10-2014,10-11-2014,5398,9.33,6.92,50363.34,37354.16,13009.18
Sub-Saharan Africa,Mali,Fruits,Online,Low,686048400,07-05-2010,10-05-2010,5822,9.33,6.92,54319.26,40288.24,14031.02
Europe,Norway,Beverages,Offline,Critical,435608613,18-07-2014,30-07-2014,5124,47.45,31.79,243133.8,162891.96,80241.84
Sub-Saharan Africa,The Gambia,Household,Offline,Low,886494815,26-05-2012,09-06-2012,2370,668.27,502.54,1583799.9,1191019.8,392780.1
Europe,Switzerland,Cosmetics,Offline,Medium,249693334,17-09-2012,20-10-2012,8661,437.2,263.33,3786589.2,2280701.13,1505888.07
Sub-Saharan Africa,South Sudan,Personal Care,Offline,Critical,406502997,29-12-2013,28-01-2014,2125,81.73,56.67,173676.25,120423.75,53252.5
Australia and Oceania,Australia,Office Supplies,Online,Critical,158535134,27-10-2015,25-11-2015,2924,651.21,524.96,1904138.04,1534983.04,369155
Asia,Myanmar,Household,Offline,High,177713572,16-01-2015,01-03-2015,8250,668.27,502.54,5513227.5,4145955,1367272.5
Sub-Saharan Africa,Djibouti,Snacks,Online,Medium,756274640,25-02-2017,25-02-2017,7327,152.58,97.44,1117953.66,713942.88,404010.78
Central America and the Caribbean,Costa Rica,Personal Care,Offline,Low,456767165,08-05-2017,21-05-2017,6409,81.73,56.67,523807.57,363198.03,160609.54
Middle East and North Africa,Syria,Fruits,Online,Low,162052476,22-11-2011,03-12-2011,3784,9.33,6.92,35304.72,26185.28,9119.44
Sub-Saharan Africa,The Gambia,Meat,Online,Medium,825304400,14-01-2017,23-01-2017,4767,421.89,364.69,2011149.63,1738477.23,272672.4
Asia,Brunei,Office Supplies,Online,Low,320009267,01-04-2012,08-05-2012,6708,651.21,524.96,4368316.68,3521431.68,846885
Europe,Bulgaria,Office Supplies,Online,Medium,189965903,16-02-2012,28-02-2012,3987,651.21,524.96,2596374.27,2093015.52,503358.75
Sub-Saharan Africa,Niger,Personal Care,Online,High,699285638,11-03-2017,28-03-2017,3015,81.73,56.67,246415.95,170860.05,75555.9
Middle East and North Africa,Azerbaijan,Cosmetics,Online,Medium,382392299,06-02-2010,25-02-2010,7234,437.2,263.33,3162704.8,1904929.22,1257775.58
Sub-Saharan Africa,The Gambia,Cereal,Offline,High,994022214,07-06-2012,08-06-2012,2117,205.7,117.11,435466.9,247921.87,187545.03
Europe,Slovakia,Vegetables,Online,High,759224212,06-10-2012,10-11-2012,171,154.06,90.93,26344.26,15549.03,10795.23
Asia,Myanmar,Clothes,Online,High,223359620,14-11-2015,18-11-2015,5930,109.28,35.84,648030.4,212531.2,435499.2
Sub-Saharan Africa,Comoros,Cereal,Offline,High,902102267,29-03-2016,29-04-2016,962,205.7,117.11,197883.4,112659.82,85223.58
Europe,Iceland,Cosmetics,Online,Critical,331438481,31-12-2016,31-12-2016,8867,437.2,263.33,3876652.4,2334947.11,1541705.29
Europe,Switzerland,Personal Care,Online,Medium,617667090,23-12-2010,31-01-2011,273,81.73,56.67,22312.29,15470.91,6841.38
Europe,Macedonia,Clothes,Offline,Critical,787399423,14-10-2014,14-11-2014,7842,109.28,35.84,856973.76,281057.28,575916.48
Sub-Saharan Africa,Mauritania,Office Supplies,Offline,Critical,837559306,11-01-2012,13-01-2012,1266,651.21,524.96,824431.86,664599.36,159832.5
Europe,Albania,Clothes,Online,Critical,385383069,02-02-2010,18-03-2010,2269,109.28,35.84,247956.32,81320.96,166635.36
Sub-Saharan Africa,Lesotho,Fruits,Online,Low,918419539,18-08-2013,18-09-2013,9606,9.33,6.92,89623.98,66473.52,23150.46
Middle East and North Africa,Saudi Arabia,Cereal,Online,Medium,844530045,25-03-2013,28-03-2013,4063,205.7,117.11,835759.1,475817.93,359941.17
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,Medium,441888415,26-11-2011,07-01-2012,3457,651.21,524.96,2251232.97,1814786.72,436446.25
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Offline,High,508980977,17-09-2013,24-10-2013,7637,9.33,6.92,71253.21,52848.04,18405.17
Sub-Saharan Africa,Cote d'Ivoire,Clothes,Online,Critical,114606559,08-06-2012,27-06-2012,3482,109.28,35.84,380512.96,124794.88,255718.08
Australia and Oceania,Fiji,Clothes,Offline,Critical,647876489,30-06-2010,01-08-2010,9905,109.28,35.84,1082418.4,354995.2,727423.2
Europe,Austria,Cosmetics,Offline,High,868214595,23-02-2015,02-03-2015,2847,437.2,263.33,1244708.4,749700.51,495007.89
Europe,United Kingdom,Household,Online,Low,955357205,05-01-2012,14-02-2012,282,668.27,502.54,188452.14,141716.28,46735.86
Sub-Saharan Africa,Djibouti,Cosmetics,Offline,High,259353148,07-04-2014,19-04-2014,7215,437.2,263.33,3154398,1899925.95,1254472.05
Australia and Oceania,Australia,Cereal,Offline,High,450563752,09-06-2013,02-07-2013,682,205.7,117.11,140287.4,79869.02,60418.38
Europe,San Marino,Baby Food,Online,Low,569662845,26-06-2013,01-07-2013,4750,255.28,159.42,1212580,757245,455335
Sub-Saharan Africa,Cameroon,Office Supplies,Online,Medium,177636754,07-11-2011,15-11-2011,5518,651.21,524.96,3593376.78,2896729.28,696647.5
Middle East and North Africa,Libya,Clothes,Offline,High,705784308,30-10-2010,17-11-2010,6116,109.28,35.84,668356.48,219197.44,449159.04
